Number: 1; Pokemon: bulbasaur; Give: 1SpA; Photo https://pokemongolife.ru/p/Bulbasaur.png;
Number: 540; Pokemon: venipede; Give: 1Def; Photo https://pokemongolife.ru/p/Venipede.png;
Number: 541; Pokemon: whirlipede; Give: 2Def; Photo https://pokemongolife.ru/p/Whirlepede.png;
Number: 542; Pokemon: scolipede; Give: 3Spe; Photo https://pokemongolife.ru/p/Scolipede.png;
Number: 543; Pokemon: cottonee; Give: 1Spe; Photo https://pokemongolife.ru/p/Cottonee.png;
Number: 544; Pokemon: petilil; Give: 2Spe; Photo https://pokemongolife.ru/p/Petilil.png;
Number: 545; Pokemon: lilligant; Give: 2SpA; Photo https://pokemongolife.ru/p/Lilligant.png;
Number: 546; Pokemon: basculin; Give: 2Spe; Photo https://pokemongolife.ru/p/Basculin.png;
Number: 547; Pokemon: sandile; Give: 1Atk; Photo https://pokemongolife.ru/p/Sandile.png;
Number: 548; Pokemon: krokorok; Give: 2Atk; Photo https://pokemongolife.ru/p/Krokorok.png;
Number: 549; Pokemon: krookodile; Give: 3Atk; Photo https://pokemongolife.ru/p/Krookodile.png;
Number: 550; Pokemon: darumaka; Give: 1Atk; Photo https://pokemongolife.ru/p/Darumaka.png;
Number: 551; Pokemon: darmanitan; Give: 2Atk; Photo https://pokemongolife.ru/p/Darmanitan.png;
Number: 552; Pokemon: maractus; Give: 2SpA; Photo https://pokemongolife.ru/p/Maractus.png;
Number: 553; Pokemon: dwebble; Give: 1Def; Photo https://pokemongolife.ru/p/Dwebble.png;
Number: 554; Pokemon: crustle; Give: 2Def; Photo https://pokemongolife.ru/p/Crustle.png;
Number: 555; Pokemon: scraggy; Give: 1Atk; Photo https://pokemongolife.ru/p/Scraggy.png;
Number: 556; Pokemon: scrafty; Give: 1Def, 1SpD; Photo https://pokemongolife.ru/p/Scrafty.png;
Number: 557; Pokemon: sigilyph; Give: 2SpA; Photo https://pokemongolife.ru/p/Sigilyph.png;
Number: 558; Pokemon: yamask; Give: 1Def; Photo https://pokemongolife.ru/p/Yamask.png;
Number: 559; Pokemon: cofagrigus; Give: 2Def; Photo https://pokemongolife.ru/p/Cofagrigus.png;
Number: 560; Pokemon: tirtouga; Give: 1Def; Photo https://pokemongolife.ru/p/Tirtouga.png;
Number: 561; Pokemon: carracosta; Give: 2Def; Photo https://pokemongolife.ru/p/Carracosta.png;
Number: 562; Pokemon: archen; Give: 1Atk; Photo https://pokemongolife.ru/p/Archen.png;
Number: 563; Pokemon: archeops; Give: 2Atk; Photo https://pokemongolife.ru/p/Archeops.png;
Number: 564; Pokemon: trubbish; Give: 1Spe; Photo https://pokemongolife.ru/p/Trubbish.png;
Number: 565; Pokemon: garbodor; Give: 2Atk; Photo https://pokemongolife.ru/p/Garbodor.png;
Number: 566; Pokemon: zorua; Give: 1SpA; Photo https://pokemongolife.ru/p/Zorua.png;
Number: 567; Pokemon: zoroark; Give: 2SpA; Photo https://pokemongolife.ru/p/Zoroark.png;
Number: 568; Pokemon: minccino; Give: 1Spe; Photo https://pokemongolife.ru/p/Minccino.png;
Number: 569; Pokemon: cinccino; Give: 2Spe; Photo https://pokemongolife.ru/p/Cinccino.png;
Number: 570; Pokemon: gothita; Give: 1SpD; Photo https://pokemongolife.ru/p/Gothita.png;
Number: 571; Pokemon: gothorita; Give: 2SpD; Photo https://pokemongolife.ru/p/Gothorita.png;
Number: 572; Pokemon: gothitelle; Give: 3SpD; Photo https://pokemongolife.ru/p/Gothitelle.png;
Number: 573; Pokemon: solosis; Give: 1SpA; Photo https://pokemongolife.ru/p/Solosis.png;
Number: 574; Pokemon: duosion; Give: 2SpA; Photo https://pokemongolife.ru/p/Duosion.png;
Number: 575; Pokemon: reuniclus; Give: 3SpA; Photo https://pokemongolife.ru/p/Reuniclus.png;
Number: 576; Pokemon: ducklett; Give: 1HP; Photo https://pokemongolife.ru/p/Ducklett.png;
Number: 577; Pokemon: swanna; Give: 2Spe; Photo https://pokemongolife.ru/p/Swanna.png;
Number: 578; Pokemon: vanillite; Give: 1SpA; Photo https://pokemongolife.ru/p/Vanillite.png;
Number: 579; Pokemon: vanillish; Give: 2SpA; Photo https://pokemongolife.ru/p/Vanillish.png;
Number: 580; Pokemon: vanilluxe; Give: 3SpA; Photo https://pokemongolife.ru/p/Vanilluxe.png;
Number: 581; Pokemon: deerling; Give: 1Spe; Photo https://pokemongolife.ru/p/Deerling.png;
Number: 582; Pokemon: sawsbuck; Give: 2Atk; Photo https://pokemongolife.ru/p/Sawsbuck.png;
Number: 583; Pokemon: emolga; Give: 2Spe; Photo https://pokemongolife.ru/p/Emolga.png;
Number: 584; Pokemon: karrablast; Give: 1Atk; Photo https://pokemongolife.ru/p/Karrablast.png;
Number: 585; Pokemon: escavalier; Give: 2Atk; Photo https://pokemongolife.ru/p/Escavalier.png;
Number: 586; Pokemon: foongus; Give: 1HP; Photo https://pokemongolife.ru/p/Foongus.png;
Number: 587; Pokemon: amoongus; Give: 2HP; Photo https://pokemongolife.ru/p/Amoongus.png;
Number: 588; Pokemon: frillish; Give: 1SpD; Photo https://pokemongolife.ru/p/Frillish.png;
Number: 589; Pokemon: jellicent; Give: 2SpD; Photo https://pokemongolife.ru/p/Jellicent.png;
Number: 590; Pokemon: alomomola; Give: 2HP; Photo https://pokemongolife.ru/p/Alomomola.png;
Number: 591; Pokemon: joltik; Give: 1Spe; Photo https://pokemongolife.ru/p/Joltik.png;
Number: 592; Pokemon: galvantula; Give: 2Spe; Photo https://pokemongolife.ru/p/Galvantula.png;
Number: 593; Pokemon: ferroseed; Give: 1Def; Photo https://pokemongolife.ru/p/Ferroseed.png;
Number: 594; Pokemon: ferrothorn; Give: 2Def; Photo https://pokemongolife.ru/p/Ferrothorn.png;
Number: 595; Pokemon: klink; Give: 1Def; Photo https://pokemongolife.ru/p/Klink.png;
Number: 596; Pokemon: klang; Give: 2Def; Photo https://pokemongolife.ru/p/Klang.png;
Number: 597; Pokemon: klinklang; Give: 3Def; Photo https://pokemongolife.ru/p/Klinkklang.png;
Number: 598; Pokemon: tynamo; Give: 1Spe; Photo https://pokemongolife.ru/p/Tynamo.png;
Number: 599; Pokemon: elektrik; Give: 2Atk; Photo https://pokemongolife.ru/p/Elektrik.png;
Number: 600; Pokemon: eelektross; Give: 3Atk; Photo https://pokemongolife.ru/p/Eelektross.png;
Number: 601; Pokemon: elgyem; Give: 1SpA; Photo https://pokemongolife.ru/p/Elgyem.png;
Number: 602; Pokemon: beheeyem; Give: 2SpA; Photo https://pokemongolife.ru/p/Beheeyem.png;
Number: 603; Pokemon: litwick; Give: 1SpA; Photo https://pokemongolife.ru/p/Litwick.png;
Number: 604; Pokemon: lampent; Give: 2SpA; Photo https://pokemongolife.ru/p/Lampent.png;
Number: 605; Pokemon: chandelure; Give: 3SpA; Photo https://pokemongolife.ru/p/Chandelure.png;
Number: 606; Pokemon: axew; Give: 1Atk; Photo https://pokemongolife.ru/p/Axew.png;
Number: 607; Pokemon: fraxure; Give: 2Atk; Photo https://pokemongolife.ru/p/Fraxure.png;
Number: 608; Pokemon: haxorus; Give: 3Atk; Photo https://pokemongolife.ru/p/Haxorus.png;
Number: 609; Pokemon: chubchoo; Give: 1Atk; Photo https://pokemongolife.ru/p/Chubchoo.png;
Number: 610; Pokemon: beartic; Give: 2Atk; Photo https://pokemongolife.ru/p/Beartic.png;
Number: 611; Pokemon: cryogonal; Give: 2SpD; Photo https://pokemongolife.ru/p/Cryogonal.png;
Number: 612; Pokemon: shelmet; Give: 1Def; Photo https://pokemongolife.ru/p/Shelmet.png;
Number: 613; Pokemon: accelgor; Give: 2Spe; Photo https://pokemongolife.ru/p/Accelgor.png;
Number: 614; Pokemon: stunfisk; Give: 2HP; Photo https://pokemongolife.ru/p/Stunfisk.png;
Number: 615; Pokemon: mienfoo; Give: 1Atk; Photo https://pokemongolife.ru/p/Mienfoo.png;
Number: 616; Pokemon: mienshao; Give: 2Atk; Photo https://pokemongolife.ru/p/Mienshao.png;
Number: 617; Pokemon: druddigon; Give: 2Atk; Photo https://pokemongolife.ru/p/Druddigon.png;
Number: 618; Pokemon: golett; Give: 1Atk; Photo https://pokemongolife.ru/p/Golett.png;
Number: 619; Pokemon: golurk; Give: 2Atk; Photo https://pokemongolife.ru/p/Golurk.png;
Number: 620; Pokemon: pawniard; Give: 1Atk; Photo https://pokemongolife.ru/p/Pawniard.png;
Number: 621; Pokemon: bisharp; Give: 2Atk; Photo https://pokemongolife.ru/p/Bisharp.png;
Number: 622; Pokemon: bouffalant; Give: 2Atk; Photo https://pokemongolife.ru/p/Bouffalant.png;
Number: 623; Pokemon: rufflet; Give: 1Atk; Photo https://pokemongolife.ru/p/Rufflet.png;
Number: 624; Pokemon: braviary; Give: 2Atk; Photo https://pokemongolife.ru/p/Braviary.png;
Number: 625; Pokemon: vullaby; Give: 1Def; Photo https://pokemongolife.ru/p/Vullaby.png;
Number: 626; Pokemon: mandibuzz; Give: 2SpA; Photo https://pokemongolife.ru/p/Mandybuzz.png;
Number: 627; Pokemon: heatmor; Give: 2SpA; Photo https://pokemongolife.ru/p/Heatmor.png;
Number: 628; Pokemon: durant; Give: 2Def; Photo https://pokemongolife.ru/p/Durant.png;
Number: 629; Pokemon: deino; Give: 1Atk; Photo https://pokemongolife.ru/p/Deino.png;
Number: 630; Pokemon: zweilous; Give: 2Atk; Photo https://pokemongolife.ru/p/Zweilous.png;
Number: 631; Pokemon: hydreigon; Give: 3SpA; Photo https://pokemongolife.ru/p/Hydreigon.png;
Number: 632; Pokemon: larvesta; Give: 1Atk; Photo https://pokemongolife.ru/p/Larvesta.png;
Number: 633; Pokemon: volcarona; Give: 3SpA; Photo https://pokemongolife.ru/p/Volcarona.png;
Number: 634; Pokemon: cobalion; Give: 3Def; Photo https://pokemongolife.ru/p/Cobalion.png;
Number: 635; Pokemon: terrakion; Give: 3Atk; Photo https://pokemongolife.ru/p/Terrakion.png;
Number: 636; Pokemon: virizion; Give: 3SpD; Photo https://pokemongolife.ru/p/Virizion.png;
Number: 637; Pokemon: tornadus; Give: 3Atk; Photo https://pokemongolife.ru/p/Tornadus.png;
Number: 638; Pokemon: thundurus; Give: 3Atk; Photo https://pokemongolife.ru/p/Thundurus.png;
Number: 639; Pokemon: reshiram; Give: 3SpA; Photo https://pokemongolife.ru/p/Reshiram.png;
Number: 640; Pokemon: zekrom; Give: 3Atk; Photo https://pokemongolife.ru/p/Zekrom.png;
Number: 641; Pokemon: landorus; Give: 3SpA; Photo https://pokemongolife.ru/p/Landorus.png;
Number: 642; Pokemon: kyurem; Give: 1HP, 1Atk, 1SpA; Photo https://pokemongolife.ru/p/Kyurem.png;
Number: 643; Pokemon: keldeo; Give: 3SpA; Photo https://pokemongolife.ru/p/Keldeo.png;
Number: 644; Pokemon: meloetta; Give: 1SpA, 1SpD, 1Spe; Photo https://pokemongolife.ru/p/Meloetta.png;
Number: 645; Pokemon: genesect; Give: 1Atk, 1SpA, 1Spe; Photo https://pokemongolife.ru/p/Genesect.png;
Number: 646; Pokemon: chespin; Give: 1Def; Photo https://pokemongolife.ru/p/Chespin.png;
Number: 647; Pokemon: quilladin; Give: 2Def; Photo https://pokemongolife.ru/p/Quilladin.png;
Number: 648; Pokemon: chesnaught; Give: 3Def; Photo https://pokemongolife.ru/p/Chesnaught.png;
Number: 649; Pokemon: fennekin; Give: 1SpA; Photo https://pokemongolife.ru/p/Fennekin.png;
Number: 650; Pokemon: braixen; Give: 2SpA; Photo https://pokemongolife.ru/p/Braixen.png;
Number: 651; Pokemon: delphox; Give: 3SpA; Photo https://pokemongolife.ru/p/Delphox.png;
Number: 652; Pokemon: froakie; Give: 1Spe; Photo https://pokemongolife.ru/p/Froakie.png;
Number: 653; Pokemon: frogadier; Give: 2Spe; Photo https://pokemongolife.ru/p/Frogadier.png;
Number: 654; Pokemon: greninja; Give: 3Spe; Photo https://pokemongolife.ru/p/Greninja.png;
Number: 655; Pokemon: bunnelby; Give: 1Spe; Photo https://pokemongolife.ru/p/Bunnelby.png;
Number: 656; Pokemon: diggersby; Give: 2HP; Photo https://pokemongolife.ru/p/Diggersby.png;
Number: 657; Pokemon: fletchling; Give: 1Spe; Photo https://pokemongolife.ru/p/Fletchling.png;
Number: 658; Pokemon: fletchinder; Give: 2Spe; Photo https://pokemongolife.ru/p/Fletchinder.png;
Number: 659; Pokemon: talonflame; Give: 3Spe; Photo https://pokemongolife.ru/p/Talonflame.png;
Number: 660; Pokemon: scatterbug; Give: 1Def; Photo https://pokemongolife.ru/p/Scatterbug.png;
Number: 661; Pokemon: spewpa; Give: 2Def; Photo https://pokemongolife.ru/p/Spewpa.png;
Number: 662; Pokemon: vivillon; Give: 1HP, 1SpA, 1Spe; Photo https://pokemongolife.ru/p/Vivllon.png;
Number: 663; Pokemon: litleo; Give: 1SpA; Photo https://pokemongolife.ru/p/Litleo.png;
Number: 664; Pokemon: pyroar; Give: 2SpA; Photo https://pokemongolife.ru/p/Pyroar.png;
Number: 665; Pokemon: flabebe; Give: 1SpD; Photo https://pokemongolife.ru/p/Flabebe.png;
Number: 666; Pokemon: floette; Give: 2SpD; Photo https://pokemongolife.ru/p/Floette.png;
Number: 667; Pokemon: florges; Give: 3SpD; Photo https://pokemongolife.ru/p/Florges.png;
Number: 668; Pokemon: skiddo; Give: 1HP; Photo https://pokemongolife.ru/p/Skiddo.png;
Number: 669; Pokemon: gogoat; Give: 2HP; Photo https://pokemongolife.ru/p/Gogoat.png;
Number: 670; Pokemon: pancham; Give: 1Atk; Photo https://pokemongolife.ru/p/Pancham.png;
Number: 671; Pokemon: pangoro; Give: 2Atk; Photo https://pokemongolife.ru/p/Pangoro.png;
Number: 672; Pokemon: furfrou; Give: 1Spe; Photo https://pokemongolife.ru/p/Furfrou.png;
Number: 673; Pokemon: espurr; Give: 1Spe; Photo https://pokemongolife.ru/p/Espurr.png;
Number: 674; Pokemon: meowstic; Give: 2Spe; Photo https://pokemongolife.ru/p/Meowstic.png;
Number: 675; Pokemon: honedge; Give: 1Def; Photo https://pokemongolife.ru/p/Honedge.png;
Number: 676; Pokemon: doublade; Give: 2Def; Photo https://pokemongolife.ru/p/Doublade.png;
Number: 677; Pokemon: aegislash; Give: 2Atk, 1SpA; Photo https://pokemongolife.ru/p/Aegislash.png;
Number: 678; Pokemon: spritzee; Give: 1HP; Photo https://pokemongolife.ru/p/Spritzee.png;
Number: 679; Pokemon: aromatisse; Give: 2HP; Photo https://pokemongolife.ru/p/Aromatisse.png;
Number: 680; Pokemon: swirlix; Give: 1Def; Photo https://pokemongolife.ru/p/Swirlix.png;
Number: 681; Pokemon: slurpuff; Give: 2Def; Photo https://pokemongolife.ru/p/Slurpuff.png;
Number: 682; Pokemon: inkey; Give: 1Atk; Photo https://pokemongolife.ru/p/Inkey.png;
Number: 683; Pokemon: malamar; Give: 2Atk; Photo https://pokemongolife.ru/p/Malamar.png;
Number: 684; Pokemon: binacle; Give: 1Atk; Photo https://pokemongolife.ru/p/Binacle.png;
Number: 685; Pokemon: barbacle; Give: 2Atk; Photo https://pokemongolife.ru/p/Barbacle.png;
Number: 686; Pokemon: skrepl; Give: 1SpD; Photo https://pokemongolife.ru/p/Skrepl.png;
Number: 687; Pokemon: dragalge; Give: 2SpD; Photo https://pokemongolife.ru/p/Dragalge.png;
Number: 688; Pokemon: clauncher; Give: 1SpA; Photo https://pokemongolife.ru/p/Clauncher.png;
Number: 689; Pokemon: clawitzer; Give: 2SpA; Photo https://pokemongolife.ru/p/Clawitzer.png;
Number: 690; Pokemon: helioptile; Give: 1Spe; Photo https://pokemongolife.ru/p/Helioptile.png;
Number: 691; Pokemon: tyrunt; Give: 1Atk; Photo https://pokemongolife.ru/p/Tyrunt.png;
Number: 692; Pokemon: tyrantrum; Give: 2Atk; Photo https://pokemongolife.ru/p/Tyrantrum.png;
Number: 693; Pokemon: amaura; Give: 1HP; Photo https://pokemongolife.ru/p/Amaura.png;
Number: 694; Pokemon: aurorus; Give: 2HP; Photo https://pokemongolife.ru/p/Aurorus.png;
Number: 695; Pokemon: sylveon; Give: 2SpD; Photo https://pokemongolife.ru/p/Sylveon.png;
Number: 696; Pokemon: hawlucha; Give: 2Atk; Photo https://pokemongolife.ru/p/Hawlucha.png;
Number: 697; Pokemon: dedenne; Give: 2Spe; Photo https://pokemongolife.ru/p/Dedenne.png;
Number: 698; Pokemon: carbink; Give: 1Def, 1SpD; Photo https://pokemongolife.ru/p/Carbink.png;
Number: 699; Pokemon: goomy; Give: 1SpD; Photo https://pokemongolife.ru/p/Goomy.png;
Number: 700; Pokemon: sliggoo; Give: 2SpD; Photo https://pokemongolife.ru/p/Sliggoo.png;
Number: 701; Pokemon: goodra; Give: 3SpD; Photo https://pokemongolife.ru/p/Goodra.png;
Number: 702; Pokemon: klefki; Give: 1Def; Photo https://pokemongolife.ru/p/Klefki.png;
Number: 703; Pokemon: phantump; Give: 1Atk; Photo https://pokemongolife.ru/p/Phantump.png;
Number: 704; Pokemon: trevenant; Give: 2Atk; Photo https://pokemongolife.ru/p/Trevenant.png;
Number: 705; Pokemon: pumpkaboo; Give: 1Def; Photo https://pokemongolife.ru/p/Pumpkaboo.png;
Number: 706; Pokemon: gourgeist; Give: 2Def; Photo https://pokemongolife.ru/p/Gourgeist.png;
Number: 707; Pokemon: bergmite; Give: 1Def; Photo https://pokemongolife.ru/p/Bergmite.png;
Number: 708; Pokemon: avalugg; Give: 2Def; Photo https://pokemongolife.ru/p/Avalugg.png;
Number: 709; Pokemon: noibat; Give: 1Spe; Photo https://pokemongolife.ru/p/Noibat.png;
Number: 710; Pokemon: noivern; Give: 2Spe; Photo https://pokemongolife.ru/p/Noivern.png;
Number: 711; Pokemon: xerneas; Give: 3HP; Photo https://pokemongolife.ru/p/Xerneas.png;
Number: 712; Pokemon: yveltal; Give: 3HP; Photo https://pokemongolife.ru/p/Yveltal.png;
Number: 713; Pokemon: zygarde; Give: 3HP; Photo https://pokemongolife.ru/p/Zygarde.png;
Number: 714; Pokemon: diancie; Give: 1Def, 2SpD; Photo https://pokemongolife.ru/p/Diancie.png;
Number: 715; Pokemon: hoopa; Give: 3SpA; Photo https://pokemongolife.ru/p/Hoopa.png;
Number: 716; Pokemon: volcanion; Give: 3SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P721sn.png;
Number: 717; Pokemon: rowlet; Give: 1HP; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P722sn.png;
Number: 718; Pokemon: dartrix; Give: 2HP; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P723sn.png;
Number: 719; Pokemon: decideueye; Give: 3Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P724sn.png;
Number: 720; Pokemon: litten; Give: 1Spe; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P725sn.png;
Number: 721; Pokemon: torracat; Give: 2Spe; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P726sn.png;
Number: 722; Pokemon: incineroar; Give: 3Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P727sn.png;
Number: 723; Pokemon: popplio; Give: 1SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P728sn.png;
Number: 724; Pokemon: brionne; Give: 2SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P729sn.png;
Number: 725; Pokemon: primarina; Give: 3SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P730sn.png;
Number: 726; Pokemon: pikipek; Give: 1Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P731sn.png;
Number: 727; Pokemon: trumbeak; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P732sn.png;
Number: 728; Pokemon: toucannon; Give: 3Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P733sn.png;
Number: 729; Pokemon: yungoos; Give: 1Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P734sn.png;
Number: 730; Pokemon: gumshoos; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P735sn.png;
Number: 731; Pokemon: grubbin; Give: 1Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P736sn.png;
Number: 732; Pokemon: charjabug; Give: 2Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P737sn.png;
Number: 733; Pokemon: vikavolt; Give: 3SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P738sn.png;
Number: 734; Pokemon: crabrawler; Give: 1Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P739sn.png;
Number: 735; Pokemon: crabominable; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P740sn.png;
Number: 736; Pokemon: oricorio; Give: 2SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P741_1sn.png;
Number: 737; Pokemon: cutiefly; Give: 1Spe; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P742sn.png;
Number: 738; Pokemon: ribombee; Give: 2Spe; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P743sn.png;
Number: 739; Pokemon: rockruff; Give: 1Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P744sn.png;
Number: 740; Pokemon: lycanroc; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P745_1sn.png;
Number: 741; Pokemon: wighiwashi; Give: 1HP; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P746_1sn.png;
Number: 742; Pokemon: mareanie; Give: 1Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P747sn.png;
Number: 743; Pokemon: toxapex; Give: 2Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P748sn.png;
Number: 744; Pokemon: mudbray; Give: 1Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P749sn.png;
Number: 745; Pokemon: mudsdale; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P750sn.png;
Number: 746; Pokemon: dewpider; Give: 1SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P751sn.png;
Number: 747; Pokemon: araquinid; Give: 2SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P752sn.png;
Number: 748; Pokemon: fomantis; Give: 1Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P753sn.png;
Number: 749; Pokemon: lurantis; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P754sn.png;
Number: 750; Pokemon: morelull; Give: 1SpD; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P755sn.png;
Number: 751; Pokemon: shiinotic; Give: 2SpD; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P756sn.png;
Number: 752; Pokemon: salandit; Give: 1Spe; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P757sn.png;
Number: 753; Pokemon: salazze; Give: 2Spe; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P758sn.png;
Number: 754; Pokemon: stufful; Give: 1Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P759sn.png;
Number: 755; Pokemon: bewear; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P760sn.png;
Number: 756; Pokemon: bounsweet; Give: 1HP; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P761sn.png;
Number: 757; Pokemon: steenee; Give: 2Spe; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P762sn.png;
Number: 758; Pokemon: tsareena; Give: 3Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P763sn.png;
Number: 759; Pokemon: comfey; Give: 2SpD; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P764sn.png;
Number: 760; Pokemon: oranguru; Give: 2SpD; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P765sn.png;
Number: 761; Pokemon: passimian; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P766sn.png;
Number: 762; Pokemon: wimpod; Give: 1Spe; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P767sn.png;
Number: 763; Pokemon: golisopod; Give: 2Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P768sn.png;
Number: 764; Pokemon: sandygast; Give: 1Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P769sn.png;
Number: 765; Pokemon: palossand; Give: 2Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P770sn.png;
Number: 766; Pokemon: pyukumuku; Give: 2SpD; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P771sn.png;
Number: 767; Pokemon: type: null; Give: 2HP; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P772sn.png;
Number: 768; Pokemon: silvally; Give: 3HP; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P773_02sn.png;
Number: 769; Pokemon: minior; Give: 1Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P774_1sn.png;
Number: 770; Pokemon: komala; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P775sn.png;
Number: 771; Pokemon: turtonator; Give: 2Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P776sn.png;
Number: 772; Pokemon: togedemaru; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P777sn.png;
Number: 773; Pokemon: mimikyu; Give: 2SpD; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P778sn.png;
Number: 774; Pokemon: bruxish; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P779sn.png;
Number: 775; Pokemon: drampa; Give: 2SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P780sn.png;
Number: 776; Pokemon: dhelmise; Give: 2Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P781sn.png;
Number: 777; Pokemon: jangmo-o; Give: 1Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P782sn.png;
Number: 778; Pokemon: hakamo-o; Give: 2Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P783sn.png;
Number: 779; Pokemon: kommo-o; Give: 3Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P784sn.png;
Number: 780; Pokemon: tapu koko; Give: 3Spe; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P785sn.png;
Number: 781; Pokemon: tapu lele; Give: 3SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P786sn.png;
Number: 782; Pokemon: tapu bulu; Give: 3Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P787sn.png;
Number: 783; Pokemon: tapu fini; Give: 3SpD; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P788sn.png;
Number: 784; Pokemon: cosmog; Give: 1HP; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P789sn.png;
Number: 785; Pokemon: cosmoem; Give: 1Def, 1SpD; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P790sn.png;
Number: 786; Pokemon: solgaleo; Give: 3Atk; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P791sn.png;
Number: 787; Pokemon: lunala; Give: 3SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P792sn.png;
Number: 788; Pokemon: nihilego; Give: 3SpD; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P793sn.png;
Number: 789; Pokemon: buzzwole; Give: 1Atk, 2Def; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P794sn.png;
Number: 790; Pokemon: pheromosa; Give: 3Spe; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P795sn.png;
Number: 791; Pokemon: xurkitree; Give: 3SpA; Photo http://pokeliga.com/pictures/sprites/SM_fansprites/P796.png;
